iteration,objective_value
1,12143.036000000006
2,12179.161999999993
3,12257.484
4,12177.913999999997
5,12532.401999999993
6,12227.918000000001
7,12272.182
8,12216.578000000001
9,12175.111999999997
10,12251.867999999997
